,time,position,time_server,session_id,userID
74,1642293727.0677996,questions,2022-01-16 00:42:07.103000+00:00,a8e49b03-8975-4c7e-ac89-8db6fb7504d9,56494552
75,1642302466.5957692,questions,2022-01-16 03:07:46.620000+00:00,bfefc37c-4be2-41e1-a1a3-a1ea1c34d663,29532055
76,1642306997.0109382,start,2022-01-16 04:23:17.032000+00:00,32b0c623-5699-4473-bdab-f71a536f04ac,38670191
77,1642356958.4202747,start,2022-01-16 18:15:58.452000+00:00,65c5ffdf-a493-4f3a-b475-1962e8069cf2,19974266
78,1642343968.041203,results,2022-01-16 14:39:28.076000+00:00,5f4b8561-d434-4a55-b465-91c9ae341069,10324585
79,1642321719.6145666,results,2022-01-16 08:28:39.658000+00:00,12544233-7dff-48c7-9a5a-0982d6a590a4,8171267
80,1642303698.4075723,start,2022-01-16 03:28:18.435000+00:00,9eab40c8-9ec8-447b-b689-40373e40a0bf,62975215
81,1642302753.7052612,start,2022-01-16 03:12:33.794000+00:00,31168d80-fb80-49a4-a061-cdf717de0c58,91377345
82,1642387968.8265085,start,2022-01-17 02:52:48.876000+00:00,b641aa6d-b835-4573-a43a-7066b533abbe,86865752
83,1642332453.508454,questions,2022-01-16 11:27:33.581000+00:00,cdc99c8f-3736-4ad3-9359-b3a0c9cd393e,55636406
84,1642314476.493387,start,2022-01-16 06:27:56.524000+00:00,45646554-b8a8-44f1-8108-7960db10466f,66934106
85,1642370528.2687116,rating,2022-01-16 22:02:08.300000+00:00,0999e381-dc20-4ed0-a293-c5ee531f6fda,37470625
86,1642345275.7716553,start,2022-01-16 15:01:15.802000+00:00,6189ecf1-9d5f-4065-a93d-b2ccfd98820a,86849689
87,1642294230.0775075,results,2022-01-16 00:50:30.107000+00:00,48858f0e-9918-447d-8861-fd70fed80114,76090640
88,1642306890.24828,start,2022-01-16 04:21:30.269000+00:00,69976386-671a-4e26-9d93-9035d6d65eb1,4695175
89,1642303183.4948595,results,2022-01-16 03:19:43.538000+00:00,51947f26-f67c-49e5-8700-58e15227fec9,43603163
90,1642326041.5105724,rating,2022-01-16 09:40:41.544000+00:00,103faf5a-65b7-4e14-83ac-bb0d193a03e1,22281469
91,1642314891.0204206,start,2022-01-16 06:34:51.054000+00:00,a30f959b-95d8-4391-9ccf-a8556e492339,79806930
92,1642334141.4639103,start,2022-01-16 11:55:41.507000+00:00,b9c12041-16a3-4a45-850f-bda98a5284ab,73202310
93,1642382273.90197,start,2022-01-17 01:17:53.928000+00:00,e2e5934d-a37d-4c43-a512-648ececaa5e6,42310627
94,1642310570.7367067,rating,2022-01-16 05:22:50.756000+00:00,97e5591d-5bf9-40fe-8621-f3ebdcf89a42,24717772
95,1642352114.6282701,start,2022-01-16 16:55:14.671000+00:00,0deb5494-21e6-4ec0-a1a9-1587359b7442,24930637
96,1639985402.4892855,results,2021-12-20 07:30:02.524000+00:00,9fc272c2-6c3b-4794-a903-7861d361fe12,36948794
97,1642304961.6430943,start,2022-01-16 03:49:21.681000+00:00,8db9a1a7-ebac-432d-a6ca-7909fd80bad0,42229398
98,1642299192.22059,rating,2022-01-16 02:13:12.251000+00:00,10e96c04-abad-4ea6-bc1c-10158c56481e,27384937
99,1642364437.0714836,start,2022-01-16 20:20:37.134000+00:00,4019819f-6167-415c-9c32-83567be64f83,51035677
100,1642295638.4033334,start,2022-01-16 01:13:58.433000+00:00,16833f0c-5163-497a-992c-5f1d942250d2,95447783
101,1642317581.6221437,rating,2022-01-16 07:19:41.654000+00:00,d21147d9-e10a-420a-8a8e-dc6b405eab61,17290380
102,1642330554.7019596,rating,2022-01-16 10:55:54.736000+00:00,05d2f6ff-58fd-4c95-a9f2-5379c184c3e0,60631033
103,1642302981.6521194,start,2022-01-16 03:16:21.684000+00:00,a2855e28-037e-455e-8e1f-faaae4019d08,52040808
104,1642360737.6346035,rating,2022-01-16 19:18:57.667000+00:00,95efa8b2-d2d3-40da-b629-39590c9c2b62,34108257
